0,-471254.625,,,,,,,
1,-565181,,,,,,,
2,-676592.375,,,,,,,
3,-769609,,,,,,,
4,-816620.875,,,,,,,
5,-833930.75,,,,,,,
6,-851172.25,,,,,,,
7,-864922.125,,,,,,,
8,-878095.4375,,,,,,,
9,-886322.625,,,,,,,
10,-899070.625,,,,,,,
12,-902146.9375,,,,,,,
13,-925101.1875,,,,,,,
14,-930060.3125,,,,,,,
15,-934295.375,,,,,,,
16,-938132.1875,,,,,,,
17,-940271.5625,,,,,,,
18,-943333.6875,,,,,,,
19,-944086.5,,,,,,,
21,-952164.6875,,,,,,,
23,-954935.9375,,,,,,,
24,-957729.6875,,,,,,,
25,-959443,,,,,,,
26,-961826.6875,,,,,,,
27,-962184.625,,,,,,,
28,-964320.8125,,,,,,,
30,-969206.875,,,,,,,
32,-971442.875,,,,,,,
33,-973515.1875,,,,,,,
34,-974530.625,,,,,,,
35,-976700,,,,,,,
37,-979014.4375,,,,,,,
38,-980357.5,,,,,,,
39,-983283.4375,,,,,,,
41,-984885.6875,,,,,,,
42,-985748.9375,,,,,,,
43,-987364.8125,,,,,,,
45,-989309.5,,,,,,,
46,-990366.875,,,,,,,
47,-993194.6875,,,,,,,
49,-994549.25,,,,,,,
50,-995371.0625,,,,,,,
51,-996751.3125,,,,,,,
52,-996943.875,,,,,,,
53,-998099.5625,,,,,,,
55,-1000559.875,,,,,,,
56,-1001373.688,,,,,,,
57,-1003892.25,,,,,,,
59,-1004896.375,,,,,,,
60,-1005580.375,,,,,,,
61,-1006479.25,,,,,,,
62,-1006801.938,,,,,,,
63,-1007337,,,,,,,
65,-1009792.375,,,,,,,
66,-1010662.938,,,,,,,
67,-1013497.063,,,,,,,
69,-1014272.688,,,,,,,
70,-1014933,,,,,,,
71,-1015337.375,,,,,,,
72,-1015847.125,,,,,,,
74,-1017659.813,,,,,,,
75,-1019121,,,,,,,
76,-1021164.375,,,,,,,
78,-1021857.313,,,,,,,
79,-1022221.188,,,,,,,
80,-1022957.375,,,,,,,
82,-1024007.25,,,,,,,
83,-1024864.313,,,,,,,
84,-1026219.5,,,,,,,
86,-1026808.688,,,,,,,
87,-1027326.438,,,,,,,
88,-1027876.313,,,,,,,
